TRANSACTION DATE/TIME,CONTRACT,PNL,OPEN / CLOSE,BUY / SELL,QUANTITY,ORDER TYPE,INSTRUMENT TYPE,CALL / PUT,STRIKE PRICE,LIMIT PRICE,TIME IN FORCE,FILL PRICE,STOP PRICE
09/07/2025 05:07:57 PM,GCZ25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,3633.2,0.0
09/07/2025 05:51:07 PM,GCZ25,10.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,3633.3,0.0
09/07/2025 05:53:02 PM,MNQU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,23733.5,0.0
09/07/2025 05:57:00 PM,MNQU25,13.5,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,23739.83,0.0
09/07/2025 05:53:02 PM,MNQU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,23733.5,0.0
09/07/2025 05:57:00 PM,MNQU25,12.5,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,23739.83,0.0
09/07/2025 05:53:02 PM,MNQU25,"",Open,BUY,2,MKT,FUTURE,"","",0.0,DAY,23733.5,0.0
09/07/2025 05:57:00 PM,MNQU25,25.0,Close,SELL,2,MKT,FUTURE,"","",0.0,DAY,23739.83,0.0
09/07/2025 05:53:02 PM,MNQU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,23733.5,0.0
09/07/2025 05:57:00 PM,MNQU25,12.5,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,23739.83,0.0
09/07/2025 05:53:02 PM,MNQU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,23733.5,0.0
09/07/2025 05:57:00 PM,MNQU25,12.5,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,23739.83,0.0
09/07/2025 05:23:56 PM,E7U25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,1.1718,0.0
09/07/2025 06:15:46 PM,E7U25,-31.25,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,1.1713,0.0
09/07/2025 06:17:30 PM,GCZ25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,3629.4,0.0
09/07/2025 05:58:25 PM,GCZ25,280.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,3632.2,0.0
09/08/2025 01:58:59 AM,GCZ25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,3637.7,0.0
09/07/2025 06:27:55 PM,GCZ25,-940.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,3628.3,0.0
